,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
loan_amnt,1.0,0.39386172398263974,0.16892108560056554,0.9539289082619035,0.1751984036944835,0.1819081664665828,-0.03502008406087168,-0.025684713492984575,-0.18777071416687666,0.3368870464329631,0.31067070520865026,-0.00925950433801329,-0.05983602153569704,-0.14622488132568268,-0.1262087615803361,0.01663579210083397,-0.010656403037988234,0.19855609738247032,-0.07777928591038402,0.3283199641362394,0.09986185721183298,0.22388607443863057,0.07774332977231932,0.019903145050637568,0.21216718354409542,-0.10647733347932954,0.0014054359669730331
term,0.39386172398263974,1.0,0.4345936028040612,0.153377950665083,0.4575242694394335,0.46820805367897034,-0.010317868981963563,-0.011766683484328591,-0.09919548731869796,0.06033017777776684,0.19638988978589464,0.009080338593238679,-0.17324635193437682,-0.034331426565777035,-0.056787705246769606,0.03650816386140601,-0.0035157618291884484,0.07957470912842285,-0.018758012297495224,0.08478669016129337,0.055149625766942975,0.10134635718091387,0.10479856181614985,0.010504359515960312,0.09129283200080787,-0.01982222043452375,-0.0015252180183642134
int_rate,0.16892108560056554,0.4345936028040612,1.0,0.1627584244857613,0.9524728527653183,0.974216847813525,0.025344346507218778,-0.0005827129130467588,0.07803473210990504,-0.05677078038635249,0.23640575125935187,0.0021330775880192172,-0.2477575102131737,0.12232809150852002,0.039377940348603986,0.07903782771138822,0.0010134452003645478,0.01164854642093568,0.06098647207620035,-0.011279685799471709,0.2935477993059808,-0.03640448845480911,-0.056160602004876194,-0.017123853658795627,-0.07911505674839862,0.05742333785711202,-0.0013912449482933196
installment,0.9539289082619035,0.153377950665083,0.1627584244857613,1.0,0.15732174316886222,0.16345286482372937,-0.03135339289549145,-0.023227994454122013,-0.1579751035134461,0.33038088982787095,0.29678812793457976,-0.01203590614252167,-0.04108213720215319,-0.13540999514984403,-0.11448677245322603,0.01578592248550105,-0.009889758688145206,0.18897301740145164,-0.06789159809407348,0.31645467949563744,0.12385142418470993,0.20242955763526618,0.04073134137380106,0.015213473709919734,0.18511673150685873,-0.09856616297079096,0.0015067793571307154
grade,0.1751984036944835,0.4575242694394335,0.9524728527653183,0.15732174316886222,1.0,0.9775751591431932,0.025104243196718806,-0.0015400330039326282,0.07262127921805049,-0.045861917431082366,0.21952352895516997,0.0016785298080055635,-0.25728592763892166,0.12986878629564735,0.004769566241676907,0.07814047563713945,0.002073148283513983,0.019321203665001525,0.06877818603949969,-0.008639082645642527,0.25882946707940024,-0.025931818769234567,-0.018811137784835615,-0.013820053934901091,-0.07113164429626676,0.061543069791246276,-0.0022694416099897623
sub_grade,0.1819081664665828,0.46820805367897034,0.974216847813525,0.16345286482372937,0.9775751591431932,1.0,0.025927681289607058,-0.001189247957120457,0.07558298390177547,-0.0467981199264736,0.2295440176602865,-0.0003025112032227926,-0.2629652625583118,0.13286543496767494,0.004979249532464859,0.08019554592125722,0.0021095032844237645,0.0191045974270882,0.07081121628211141,-0.007398372971408771,0.2691349638825129,-0.0269577778874907,-0.014506222687446139,-0.014604335274440302,-0.07320205413274225,0.0632457525700648,-0.001748418960165368
emp_title,-0.03502008406087168,-0.010317868981963563,0.025344346507218778,-0.03135339289549145,0.025104243196718806,0.025927681289607058,1.0,-0.057522407555180864,-0.00638314996507392,-0.0367729433025773,0.02447689635019013,0.00046446231424839,-0.04441130169721662,0.01567208468143408,0.1018172835008951,0.005670302614572217,-0.004696705791289864,-0.03719359536062961,0.031030211849348708,-0.025642586109702152,-0.014576516211994805,-0.02615077021360348,0.0029587690883397318,5.617299637509054e-05,0.0013702288124744957,0.029552115437406563,0.0004756762899238341
emp_length,-0.025684713492984575,-0.011766683484328591,-0.0005827129130467588,-0.023227994454122013,-0.0015400330039326282,-0.001189247957120457,-0.057522407555180864,1.0,0.0704239479372839,-0.018821433677755597,-0.04174393156545885,-0.0008195918721424511,-0.004572567778870395,0.005797113506299301,-0.0110389128962627,-0.01031228678458788,0.009988408676830311,-0.013034400547236582,-0.020024881169673697,-0.038277064345897074,-0.003962425973157525,-0.05692108096450938,-0.02032064003836901,-0.00022387902815240363,-0.09864282847793268,-0.02207554541685711,0.001367702779650001
home_ownership,-0.18777071416687666,-0.09919548731869796,0.07803473210990504,-0.1579751035134461,0.07262127921805049,0.07558298390177547,-0.00638314996507392,0.0704239479372839,1.0,-0.16251175302242138,-0.058982089230598105,0.0010370067266264964,-0.06837044446142186,0.03709421759553714,0.008168740693888345,0.0012856976962403056,0.012396779823319774,-0.13205588603636484,0.0027287020432967997,-0.15936852740602084,-0.009236828041369004,-0.2229331002313501,-0.03755114291941043,-0.015335613394417783,-0.4616722244369128,0.008807995147102708,-0.0009720058404743864
annual_inc,0.3368870464329631,0.06033017777776684,-0.05677078038635249,0.33038088982787095,-0.045861917431082366,-0.0467981199264736,-0.0367729433025773,-0.018821433677755597,-0.16251175302242138,1.0,0.08111350003372671,-0.008772475340359433,0.053432382059604204,0.008656402364323421,-0.0440809208015988,-0.08168536981871442,-0.011893629844175767,0.13615042403520383,-0.01371961074853173,0.29977329995527396,0.02785532465785279,0.19302342291364685,0.04175240851915357,-0.0003346997626760674,0.2239748992082061,-0.05007460060621939,5.3402173871272755e-05
verification_status,0.31067070520865026,0.19638988978589464,0.23640575125935187,0.29678812793457976,0.21952352895516997,0.2295440176602865,0.02447689635019013,-0.04174393156545885,-0.058982089230598105,0.08111350003372671,1.0,-0.0031210352152523254,-0.07790864462084575,0.0007625381456893644,-0.009082201805208141,0.050504201514200105,-0.010818138665854345,0.06551191620966619,0.04309122669827603,0.10908531764467373,0.07379188518793597,0.08972975838402585,-0.01694193657404443,-0.003216994240937159,0.08255926713640109,0.02980153026835566,0.0008078060871058436
issue_d,-0.00925950433801329,0.009080338593238679,0.0021330775880192172,-0.01203590614252167,0.0016785298080055635,-0.0003025112032227926,0.00046446231424839,-0.0008195918721424511,0.0010370067266264964,-0.008772475340359433,-0.0031210352152523254,1.0,-0.001601836060505488,-0.007365088200820825,0.003488861819429227,0.008526540466805538,-0.0016523143723840839,0.002452528181015925,0.00019631794981690956,-0.003930274455541808,-0.005453939820129049,0.0010518057835610228,-0.0009498465505209018,0.006731431828274238,-0.008444988494165485,0.005086559039761877,-0.0015800959789294194
loan_status,-0.05983602153569704,-0.17324635193437682,-0.2477575102131737,-0.04108213720215319,-0.25728592763892166,-0.2629652625583118,-0.04441130169721662,-0.004572567778870395,-0.06837044446142186,0.053432382059604204,-0.07790864462084575,-0.001601836060505488,1.0,-0.019807280696730847,0.009895301892742549,-0.06241321389248551,0.0005966279750627564,-0.028011976803083604,-0.019932938505416452,0.010892325584434063,-0.08234074008520664,0.017892570933512465,-0.009489140835375668,0.011296068660449866,0.07022271607768245,-0.009377277738412881,0.0017974351869392677
purpose,-0.14622488132568268,-0.034331426565777035,0.12232809150852002,-0.13540999514984403,0.12986878629564735,0.13286543496767494,0.01567208468143408,0.005797113506299301,0.03709421759553714,0.008656402364323421,0.0007625381456893644,-0.007365088200820825,-0.019807280696730847,1.0,0.3398951663792321,-0.04896786553536759,-0.0003110644321917769,-0.09023971487801795,0.005754977822381212,-0.07560046492006547,-0.12486113030611255,-0.07088414581159352,-0.06163170888020774,-0.00029695688585210285,-0.023641015662357334,-0.0046187699438169786,-0.001864422096132979
title,-0.1262087615803361,-0.056787705246769606,0.039377940348603986,-0.11448677245322603,0.004769566241676907,0.004979249532464859,0.1018172835008951,-0.0110389128962627,0.008168740693888345,-0.0440809208015988,-0.009082201805208141,0.003488861819429227,0.009895301892742549,0.3398951663792321,1.0,-0.032856772136722764,-0.01058097576867894,-0.08835109078143223,-0.03194552175985117,-0.056523294880167774,-0.0281035753064616,-0.07533905891161366,-0.15690407626790587,-0.00259254326704814,-0.014964078423764019,-0.020984907781635507,-0.001178042713327086
dti,0.01663579210083397,0.03650816386140601,0.07903782771138822,0.01578592248550105,0.07814047563713945,0.08019554592125722,0.005670302614572217,-0.01031228678458788,0.0012856976962403056,-0.08168536981871442,0.050504201514200105,0.008526540466805538,-0.06241321389248551,-0.04896786553536759,-0.032856772136722764,1.0,-0.0007662742176368652,0.13618083792672142,-0.017638752220528794,0.06357149345733404,0.08836807117470408,0.10212827137222506,0.0227829351224232,0.03005124894690359,-0.025210687933591394,-0.014555546302594851,-0.002657691702638523
earliest_cr_line,-0.010656403037988234,-0.0035157618291884484,0.0010134452003645478,-0.009889758688145206,0.002073148283513983,0.0021095032844237645,-0.004696705791289864,0.009988408676830311,0.012396779823319774,-0.011893629844175767,-0.010818138665854345,-0.0016523143723840839,0.0005966279750627564,-0.0003110644321917769,-0.01058097576867894,-0.0007662742176368652,1.0,0.002866013550706087,-0.0040880608714099174,-0.014211399980263552,-0.0010936145196444448,-0.004564124355396666,0.0013796720821672083,0.0014594779513246521,-0.018266571100913346,-0.004735289468467505,0.0021204406969063446
open_acc,0.19855609738247032,0.07957470912842285,0.01164854642093568,0.18897301740145164,0.019321203665001525,0.0191045974270882,-0.03719359536062961,-0.013034400547236582,-0.13205588603636484,0.13615042403520383,0.06551191620966619,0.002452528181015925,-0.028011976803083604,-0.09023971487801795,-0.08835109078143223,0.13618083792672142,0.002866013550706087,1.0,-0.0183922944606874,0.22119235777753107,-0.13132446677290927,0.6807282778809024,0.07192487377452396,-0.01086035842816171,0.10454121098149192,-0.02770907844255476,0.0003253932814098309
pub_rec,-0.07777928591038402,-0.018758012297495224,0.06098647207620035,-0.06789159809407348,0.06877818603949969,0.07081121628211141,0.031030211849348708,-0.020024881169673697,0.0027287020432967997,-0.01371961074853173,0.04309122669827603,0.00019631794981690956,-0.019932938505416452,0.005754977822381212,-0.03194552175985117,-0.017638752220528794,-0.0040880608714099174,-0.0183922944606874,1.0,-0.10166359946645166,-0.07590425671607848,0.019722725430658384,0.045897267228099066,0.004855023376156078,0.011414129118926856,0.6993104976105355,0.0001505964114214299
revol_bal,0.3283199641362394,0.08478669016129337,-0.011279685799471709,0.31645467949563744,-0.008639082645642527,-0.007398372971408771,-0.025642586109702152,-0.038277064345897074,-0.15936852740602084,0.29977329995527396,0.10908531764467373,-0.003930274455541808,0.010892325584434063,-0.07560046492006547,-0.056523294880167774,0.06357149345733404,-0.014211399980263552,0.22119235777753107,-0.10166359946645166,1.0,0.22616129847314703,0.19161636180333094,0.02833605257402626,-0.0036105084599735316,0.18942759497711875,-0.12446081723371369,-0.0009197460494530523
revol_util,0.09986185721183298,0.055149625766942975,0.2935477993059808,0.12385142418470993,0.25882946707940024,0.2691349638825129,-0.014576516211994805,-0.003962425973157525,-0.009236828041369004,0.02785532465785279,0.07379188518793597,-0.005453939820129049,-0.08234074008520664,-0.12486113030611255,-0.0281035753064616,0.08836807117470408,-0.0010936145196444448,-0.13132446677290927,-0.07590425671607848,0.22616129847314703,1.0,-0.10423498623502964,-0.058769963309423925,0.002004226467059391,0.007010543766283158,-0.0866431699922506,0.000690914250007042
total_acc,0.22388607443863057,0.10134635718091387,-0.03640448845480911,0.20242955763526618,-0.025931818769234567,-0.0269577778874907,-0.02615077021360348,-0.05692108096450938,-0.2229331002313501,0.19302342291364685,0.08972975838402585,0.0010518057835610228,0.017892570933512465,-0.07088414581159352,-0.07533905891161366,0.10212827137222506,-0.004564124355396666,0.6807282778809024,0.019722725430658384,0.19161636180333094,-0.10423498623502964,1.0,0.06785086838386847,-0.005016798037817331,0.36279551009580674,0.04200133464964361,0.001842460368990824
initial_list_status,0.07774332977231932,0.10479856181614985,-0.056160602004876194,0.04073134137380106,-0.018811137784835615,-0.014506222687446139,0.0029587690883397318,-0.02032064003836901,-0.03755114291941043,0.04175240851915357,-0.01694193657404443,-0.0009498465505209018,-0.009489140835375668,-0.06163170888020774,-0.15690407626790587,0.0227829351224232,0.0013796720821672083,0.07192487377452396,0.045897267228099066,0.02833605257402626,-0.058769963309423925,0.06785086838386847,1.0,0.014672688355417355,0.025890631589597358,0.04085667250485036,0.00032863496891258727
application_type,0.019903145050637568,0.010504359515960312,-0.017123853658795627,0.015213473709919734,-0.013820053934901091,-0.014604335274440302,5.617299637509054e-05,-0.00022387902815240363,-0.015335613394417783,-0.0003346997626760674,-0.003216994240937159,0.006731431828274238,0.011296068660449866,-0.00029695688585210285,-0.00259254326704814,0.03005124894690359,0.0014594779513246521,-0.01086035842816171,0.004855023376156078,-0.0036105084599735316,0.002004226467059391,-0.005016798037817331,0.014672688355417355,1.0,0.011198091081950232,0.004703429526653462,0.00023899266486085565
mort_acc,0.21216718354409542,0.09129283200080787,-0.07911505674839862,0.18511673150685873,-0.07113164429626676,-0.07320205413274225,0.0013702288124744957,-0.09864282847793268,-0.4616722244369128,0.2239748992082061,0.08255926713640109,-0.008444988494165485,0.07022271607768245,-0.023641015662357334,-0.014964078423764019,-0.025210687933591394,-0.018266571100913346,0.10454121098149192,0.011414129118926856,0.18942759497711875,0.007010543766283158,0.36279551009580674,0.025890631589597358,0.011198091081950232,1.0,0.02676503627034977,-0.002339795399958653
pub_rec_bankruptcies,-0.10647733347932954,-0.01982222043452375,0.05742333785711202,-0.09856616297079096,0.061543069791246276,0.0632457525700648,0.029552115437406563,-0.02207554541685711,0.008807995147102708,-0.05007460060621939,0.02980153026835566,0.005086559039761877,-0.009377277738412881,-0.0046187699438169786,-0.020984907781635507,-0.014555546302594851,-0.004735289468467505,-0.02770907844255476,0.6993104976105355,-0.12446081723371369,-0.0866431699922506,0.04200133464964361,0.04085667250485036,0.004703429526653462,0.02676503627034977,1.0,-0.0005439652569332355
address,0.0014054359669730331,-0.0015252180183642134,-0.0013912449482933196,0.0015067793571307154,-0.0022694416099897623,-0.001748418960165368,0.0004756762899238341,0.001367702779650001,-0.0009720058404743864,5.3402173871272755e-05,0.0008078060871058436,-0.0015800959789294194,0.0017974351869392677,-0.001864422096132979,-0.001178042713327086,-0.002657691702638523,0.0021204406969063446,0.0003253932814098309,0.0001505964114214299,-0.0009197460494530523,0.000690914250007042,0.001842460368990824,0.00032863496891258727,0.00023899266486085565,-0.002339795399958653,-0.0005439652569332355,1.0
